"id","role","endDate","member","organization","startDate","alephUrl","date","description","namesMentioned","indexText","modifiedAt","publisher","publisherUrl","recordId","retrievedAt","sourceUrl","status","summary"
"00a8bc6e8b0316c0fb8f98bc66b122d5411b6edd","","2019-03-01","60a8e43d684ecbbda4da6b91be72aefebf4f8a2f","83a3ba3917f821d734459d5edd5568a4aa8e73f2","2016-04-20","","","Gesellschafter [334346k]Firma amtswegig gelöscht.","","","","","","","","","",""
"00af25d1cc99c3ef451100229bf829985e8e6e7b","","","04f118f76ff14f2782d3198d7faa24aae967a46d","834ce96533ff1606412039c834e585cd2b1b220a","2018-11-14","","","Schriftführer","","","","","","","","","",""
"00b871b60f05500a42bdfd37b1fdd91f3dfe6373","","","acfa37d44fc5ea3902d90ba27e2c5d6f76ffaa31","04e2d2e85a6bf5049ce42ec0a7fddf9a4d348d91","2009-08-30","","","Vizepräsident","","","","","","","","","",""
"00cca05a5fe8a725a98ee7acd9fbdf03bb3a4c75","","","00a6fc68c0b7836ca54492daac800d1761f53710","6c5886f7fe3fea8d227c344ba881277d4b3c3ace","2018-03-09","","","Obmann","","","","","","","","","",""
"00d083bd03b605095534b31f5b1679ceb151f7aa","","","db232ba4f0a1a762cd0deddabaf90b0c2509fba8","a3c740c10676ad382679fb87fbc288276002a41c","2013-05-24","","","Abgeordneter zum Landtag von Tirol, ÖVP","","","","","","","","","",""
"00d408ed17c6aa472b21a21b51225b084be3d65f","","1996-01-01","39fd43471174b4f6593d8bdd0404bdfd6fa047c7","1df1aa8d2501d74eb8a267a76cce7cc7cd959127","1984-01-01","","","Für entwicklungspolitische Fragen verantwortlich","","","","","","","","","",""
"00e266d598d3252268b0260b3b1995588bb9de04","","","b4025960aa27e4f5cc5ab82c7dd83581d8fdfcc5","17ae1f686cf23d969d893805c32778939887e8b0","2002-12-20","","","Abgeordneter zum Nationalrat","","","","","","","","","",""
"00e26c53c91b416db97d95aa6e3bf464c815c927","","2017-12-14","e28df07d83f0246022941e1e262577f23fc83367","7a3d619e06c867eaa0da9fb3c9945171aea391ee","2012-08-01","","","Vorstandsvorsitzender [224747k]","","","","","","","","","",""
"00e533dcef0ed5c35119d015188ff54cd41c2563","","","20cf7bd428f9d9ea05bde64b1e36fe5c4c8739c5","7659661f3c26e9388dc44bdeb020de43ce31a945","2019-01-08","","","Obfrau","","","","","","","","","",""
"00ebe2578d6f84112ee2bdae5d1d2d43120672b7","","2006-04-04","9d37202854cc97b9635afc51f201d1b0807deb18","0d0a7c47ee0bec1c768887efab7b14ace8008890","2005-06-03","","","Prokurist [230949g]","","","","","","","","","",""
"00ebe57f3e6c1c10d392001f3255a03691113145","","2014-11-25","8c97d581db87b75520d9762213eddfbf6f48c820","499126e65e2118103971f6fb797fcef3b39b57a2","2009-03-20","","","Geschäftsführer [223587f]laut Eigenangaben unentgeltlich","","","","","","","","","",""
"00efd44222a0f3d3a2bb9376cea17e03d3765d62","","2018-04-12","df83a904cbbf672ea3cd968e96d3afdc45f0ba58","fce83b8a13d55a98bfa8ea1f12974c8ca8e6c8e6","2014-05-08","","","Landesrat von KärntenReferate: Land- und Forstwirtschaft Kunst und Kultur Tourismus Wirtschaft Bedarfszuweisungen Gemeinden - Doppelzuständigkeit mit LHStv. Gaby Schaunig","","","","","","","","","","Landesrat"
