,id,name,cd_wd_id,cd_name
1376,fcc94a122228733902b6f601abc54631aa205a4b,Elisabeth Weitgasser,Q54956531,Elisabeth Weitgasser
1377,fd6b5ddebf7ed34449bac5a96eb2acbdbf5e4a3e,Elisabeth Trummer,Q84091498,Elisabeth Trummer
1378,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q95198917,Daniela Schmid
1379,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q21258199,Daniela Schmidt
1380,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q89189322,Daniela Schmidt
1381,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q90589733,Daniela Schmid
1382,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q88124382,Daniela Schmid
1383,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q87653139,Daniela Schmid
1384,fdc8f2275cf8bea8331ea4a779755915d0c29363,Daniela Schmid,Q97706069,Daniela Schmidt
1385,fe532c498a07fc06380579af855e68389239c43b,Andrea Michaela Schartel,Q19501935,Andrea-Michaela Schartel
1386,fea62afd157dd3f7ec3253d21547bb3b0a6f30bf,Irene Neumann-Hartberger,Q81616188,Irene Neumann-Hartberger
